Rank,Name,Platform,Year,Genre,Publisher
9337,James Bond 007: Nightfire,GBA,2003,SHOOTER,Electronic Arts
12262,Gradius Collection,PSP,2006,SHOOTER,Konami Digital Entertainment
9686,Godzilla Unleashed: Double Smash,DS,2007,ACTION,Atari
11416,Jikkyou Powerful Pro Yakyuu 15,WII,2008,SPORTS,Konami Digital Entertainment
15663,Nobunaga no Yabou: Soutensoku with Power-Up Kit,PSP,2011,STRATEGY,Tecmo Koei
12837,Kamen Rider: Battride War Genesis,PS4,2016,ACTION,Namco Bandai Games
13018,TNA iMPACT: Cross the Line,PSP,2010,FIGHTING,SouthPeak Games
10605,Bejeweled Twist,DS,2010,PUZZLE,PopCap Games
7595,Press Your Luck 2010 Edition,DS,2009,MISC,Ubisoft
5378,Radiant Historia,DS,2010,ROLEPLAYING,Atlus
5908,Rabbids: Alive & Kicking,X360,2011,MISC,Ubisoft
16535,STORM: Frontline Nation,PC,2011,STRATEGY,Unknown
11978,McFarlane's Evil Prophecy,PS2,N/A,ACTION,Konami Digital Entertainment
5272,Nicktoons: Unite!,GC,2005,ADVENTURE,THQ
3867,Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,DS,2006,MISC,Nintendo
11691,Crayola: Colorful Journey,WII,2009,MISC,Crave Entertainment
7889,Tamagotchi Party On!,WII,2006,MISC,Namco Bandai Games
11473,Knights Contract,X360,2011,ACTION,Namco Bandai Games
1891,Skylanders Giants,PS3,2012,ACTION,Activision
11948,Romance of the Three Kingdoms IX,PS2,2003,STRATEGY,Tecmo Koei
6621,Star Wars The Clone Wars: Republic Heroes,PS2,2009,ACTION,LucasArts
2081,Puzzler Collection,DS,2008,PUZZLE,Ubisoft
613,Tomb Raider (2013),PS3,2013,ACTION,Square Enix
10066,Ring of Red,PS2,2000,STRATEGY,Konami Digital Entertainment
311,The Elder Scrolls V: Skyrim,PC,2011,ROLEPLAYING,Bethesda Softworks
8838,Earth Defense Force 2025,X360,2013,SHOOTER,D3Publisher
14100,Major League Baseball 2K8,PSP,N/A,SPORTS,Unknown
147,The Last of Us,PS3,2013,ACTION,Sony Computer Entertainment Europe
16497,Legends of Oz: Dorothy's Return,_3DS,2014,PUZZLE,N/A
9465,Academy of Champions: Soccer,WII,2009,SPORTS,Ubisoft
10928,Trivial Pursuit unhinged,XB,2004,MISC,Atari
5089,Alien: Isolation,PS3,2014,SHOOTER,Sega
7924,Mushroom Men: The Spore Wars,WII,2008,ACTION,SouthPeak Games
8440,Klonoa,WII,2008,PLATFORM,Namco Bandai Games
16583,Real Rode,PS2,2008,ADVENTURE,Kadokawa Shoten
4596,Big Strike Bowling,PS,2003,SPORTS,Gotham Games
6368,Major League Baseball 2K10,WII,2010,SPORTS,Take-Two Interactive
10452,Pro Yakyuu Famista DS 2009,DS,2009,SPORTS,Namco Bandai Games
15858,Drakensang: The Dark Eye,PC,2009,ROLEPLAYING,Eidos Interactive
3092,Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007,MISC,Namco Bandai Games
7656,Grandia II,DC,2000,ROLEPLAYING,Ubisoft
10135,Home Run King,GC,2002,SPORTS,Sega
15232,Fallout Trilogy,PC,2004,ROLEPLAYING,Ubisoft
3663,Tony Hawk's Pro Skater 3,XB,2002,SPORTS,Activision
6023,Fast Food,_2600,1981,ACTION,Unknown
758,Your Shape featuring Jenny McCarthy,WII,2009,SPORTS,Ubisoft
8089,Odin Sphere: Leifthrasir,PS4,2016,ROLEPLAYING,Nippon Ichi Software
9732,Makai Kingdom: Chronicles of the Sacred Tome,PS2,2005,ROLEPLAYING,Tecmo Koei
13148,The Lost Vikings,GBA,2003,PUZZLE,Activision
4800,WipeOut 3 The Game,WII,2012,ACTION,Activision
14135,TOCA Race Driver 3,XB,2006,RACING,Codemasters
15594,Puzzle Guzzle,PSP,2007,PUZZLE,DHM Interactive
15129,Jitsumei Jikkyou Keiba Dream Classic 2002,PS2,2002,SPORTS,Namco Bandai Games
9462,Romance of the Three Kingdoms IV: Wall of Fire,PS,1995,STRATEGY,Tecmo Koei
10624,The Bard's Tale,XB,2004,ROLEPLAYING,Ubisoft
15585,MotoGP 14,PSV,2014,RACING,Milestone S.r.l.
12722,Samurai Jack: The Shadow of Aku,PS2,2004,ACTION,Sega
5341,Rugrats: Royal Ransom,PS2,2002,PLATFORM,THQ
743,Saints Row,X360,2006,ACTION,THQ
9973,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013,MISC,Ubisoft
6790,MLB,PSP,2005,SPORTS,Sony Computer Entertainment
9914,Crime Killer,PS,1998,RACING,Interplay
1844,Need for Speed: ProStreet,WII,2007,RACING,Electronic Arts
2865,Virtua Fighter 4: Evolution,PS2,2003,FIGHTING,Sega
11486,Samurai Western,PS2,2004,ACTION,505 Games
1193,Dragon Quest Monsters 2,GB,2001,ROLEPLAYING,Enix Corporation
7403,Wedding Dash,DS,2009,ACTION,Zoo Games
8518,Let's Ride: Sunshine Stables,GBA,2005,SPORTS,DTP Entertainment
5201,Assassin's Creed III,WIIU,2012,ACTION,Ubisoft
6709,Hitman: Absolution,PC,2012,ACTION,Square Enix
6696,U-Sing: Girls Night,WII,2010,MISC,Mindscape
11231,Savage Skies,PS2,2002,SHOOTER,Big Ben Interactive
14284,Guitar Hero: World Tour,PC,2009,MISC,Aspyr
9140,Lord of the Rings: Tactics,PSP,2005,STRATEGY,Electronic Arts
14395,Infinite Stratos 2: Ignition Hearts,PSV,2014,ADVENTURE,5pb
4208,World Soccer Winning Eleven 8: Liveware Evolution,PS2,2005,SPORTS,Konami Digital Entertainment
2279,Harvest Moon 3D: A New Beginning,_3DS,2012,ACTION,Marvelous Entertainment
5697,Heart of Darkness,PS,1998,PLATFORM,Ocean
11362,Worms: Open Warfare,DS,2006,STRATEGY,THQ
1925,Virtua Fighter,SAT,1994,FIGHTING,Sega
7545,Arcana Heart 3,PS3,2011,FIGHTING,PQube
1012,Kirby's Adventure,NES,1993,PLATFORM,Nintendo
14180,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS3,2016,MISC,Tecmo Koei
1292,Fight Night Round 3,X360,2006,FIGHTING,Electronic Arts
15746,Postman Pat: Special Delivery Service,DS,2009,MISC,GSP
5759,Bass Hunter 64,N64,1999,SPORTS,Take-Two Interactive
12036,Trick DS-han: Kakushi Kami no Sumukan,DS,2010,MISC,Konami Digital Entertainment
12474,Vexx,GC,2003,PLATFORM,Acclaim Entertainment
1426,Crash Bandicoot 2: N-Tranced,GBA,2003,PLATFORM,Vivendi Games
7276,Shin Megami Tensei: Persona,PSP,2009,ROLEPLAYING,Atlus
387,Battlefield 4,PS4,2013,SHOOTER,Electronic Arts
6486,Project Runway,WII,2010,SIMULATION,Atari
13336,Cabela's African Safari,PSP,2006,SPORTS,Activision Value
2301,Burnout Revenge,PS2,2005,RACING,Electronic Arts
14836,Pop Cutie! Street Fashion Simulation (JP sales),DS,2008,SIMULATION,Tecmo Koei
2571,Hitman: Contracts,PS2,2004,SHOOTER,Eidos Interactive
5054,Etrian Odyssey IV: Legends of the Titans,_3DS,2012,ROLEPLAYING,Atlus
8556,The BIGS,PS3,2007,SPORTS,Take-Two Interactive
2205,Castlevania: Lament of Innocence,PS2,2003,ACTION,Konami Digital Entertainment
6237,Mass Effect Trilogy,PC,2012,ACTION,Electronic Arts
4188,Bomberman Hero,N64,1998,PLATFORM,Nintendo
14494,Senko no Ronde DUO,X360,2010,FIGHTING,G.Rev
630,Final Fantasy V,SNES,1992,ROLEPLAYING,SquareSoft
8767,Murdered: Soul Suspect,PS3,2014,ACTION,Square Enix
13781,Nobunaga's Ambition: Sphere of Influence,PS4,2014,STRATEGY,Tecmo Koei
16376,Meru Purana,PS,1996,STRATEGY,Gust
12045,Real Time Conflict: Shogun Empires,DS,2005,STRATEGY,Namco Bandai Games
15440,Resident Evil Zero,PC,2016,ACTION,Capcom
9677,Disney Sing It: Party Hits,PS3,2010,MISC,Disney Interactive Studios
4781,NFL GameDay 2002,PS,2001,SPORTS,Sony Computer Entertainment
2703,Pro Evolution Soccer 2015,PS4,2014,SPORTS,Konami Digital Entertainment
6046,Just Dance Wii 2,WII,2012,MISC,Nintendo
5536,Spy Kids 3-D: Game Over,GBA,2003,PLATFORM,Disney Interactive Studios
8921,Fugitive Hunter: War on Terror,PS2,2003,SHOOTER,Play It
10487,Dropship: United Peace Force,PS2,2002,SIMULATION,Sony Computer Entertainment
